Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Jalen Williams,69,1490,369,354,111,46,124,150,1,0,3,0,1698.0,24.61
Kyrie Irving,50,1234,240,231,66,23,144,111,3,0,0,0,1230.0,24.6
Walker Kessler,58,641,707,97,36,138,6,86,0,0,28,0,1417.5,24.44
Franz Wagner,60,1449,342,284,75,21,104,138,0,0,3,0,1459.5,24.32
Donovan Mitchell,71,1701,322,354,95,17,233,149,1,0,6,0,1725.0,24.3
Jalen Brunson,65,1690,187,475,60,8,152,164,3,1,14,0,1573.0,24.2
Tyler Herro,77,1840,399,424,69,17,251,198,3,0,9,0,1854.5,24.08
Miles Bridges,64,1300,481,248,44,45,141,136,1,0,14,1,1508.5,23.57
Jamal Murray,67,1436,261,403,91,33,156,138,2,1,5,0,1578.0,23.55
Dyson Daniels,76,1073,449,333,229,55,80,155,0,0,9,0,1780.5,23.43
Ja Morant,50,1159,205,364,61,12,88,185,1,0,13,1,1169.5,23.39
Jaren Jackson Jr.,74,1641,417,148,92,113,146,153,1,0,6,0,1722.5,23.28
Kawhi Leonard,37,796,219,116,59,17,78,72,0,0,5,0,857.0,23.16
Kristaps Porziņģis,42,818,284,87,31,63,103,53,0,0,6,0,972.5,23.15
Desmond Bane,69,1327,418,369,80,28,164,169,1,0,10,1,1592.5,23.08
Mark Williams,44,671,447,109,32,54,0,71,0,0,21,0,1013.5,23.03
Amen Thompson,69,970,564,265,97,89,25,138,0,0,21,3,1587.5,23.01
Jakob Poeltl,57,824,547,158,66,71,1,111,0,0,23,0,1303.5,22.87
Jaylen Brown,63,1398,368,286,73,19,116,162,1,0,5,0,1439.0,22.84
Pascal Siakam,78,1578,540,263,70,42,126,109,0,0,11,0,1781.0,22.83
Isaiah Hartenstein,57,637,611,219,47,62,0,96,0,0,28,0,1298.5,22.78
RJ Barrett,58,1223,366,314,46,17,107,166,0,0,10,2,1319.0,22.74
Chet Holmgren,32,479,257,63,23,71,44,56,0,0,11,0,724.5,22.64
Trey Murphy III,53,1124,268,188,56,39,158,103,2,0,2,0,1188.0,22.42
Rudy Gobert,72,866,785,127,56,104,0,89,0,0,36,0,1612.0,22.39
Austin Reaves,73,1475,329,421,81,22,200,177,1,0,9,1,1628.5,22.31
Brandon Ingram,18,400,100,93,16,11,43,69,0,0,0,0,399.5,22.19
Jimmy Butler III,55,964,296,298,77,18,32,74,0,0,6,3,1220.0,22.18
John Collins,40,758,327,80,39,40,59,103,0,0,13,0,883.5,22.09
Brandon Miller,27,568,131,98,29,20,104,76,0,0,2,0,589.0,21.81
Darius Garland,75,1544,214,506,91,11,212,189,1,0,7,0,1621.0,21.61
Derrick White,76,1248,341,361,72,80,265,131,1,0,4,0,1636.5,21.53
Jalen Duren,78,918,807,209,54,89,0,136,0,0,41,0,1666.0,21.36
Jarrett Allen,82,1103,798,158,77,73,0,97,0,0,40,0,1750.5,21.35
Deandre Ayton,40,576,406,64,31,39,6,69,0,0,20,0,852.0,21.3
DeMar DeRozan,77,1710,298,342,62,32,84,105,1,0,3,0,1624.0,21.09
Paul George,41,665,219,178,75,20,96,106,0,0,3,0,864.5,21.09
Onyeka Okongwu,74,988,660,168,69,68,48,90,0,0,28,0,1558.0,21.05
Julius Randle,69,1288,487,323,47,16,108,196,0,0,14,0,1452.0,21.04
Deni Avdija,72,1219,522,281,71,35,125,196,0,0,17,2,1512.0,21.0
Myles Turner,72,1120,471,111,54,144,156,123,0,0,13,0,1506.0,20.92
Zach LaVine,74,1724,315,310,58,12,239,208,2,0,6,0,1546.5,20.9
P.J. Washington,57,836,442,131,63,60,91,118,0,0,14,0,1178.5,20.68
CJ McCollum,56,1183,212,227,46,24,171,106,4,1,0,0,1155.0,20.62
Michael Porter Jr.,77,1398,540,165,50,38,193,104,0,0,15,0,1587.5,20.62
OG Anunoby,74,1332,358,164,110,65,171,102,1,0,1,0,1523.5,20.59
Fred VanVleet,60,844,221,333,94,25,159,87,0,0,4,0,1210.5,20.18
Jalen Green,82,1723,377,282,71,27,234,203,2,0,4,0,1636.5,19.96
Jordan Poole,68,1391,203,303,86,27,235,204,3,0,1,0,1345.0,19.78
Coby White,74,1509,273,330,69,16,216,177,1,0,2,0,1461.5,19.75
Bobby Portis,49,680,411,104,35,26,65,57,0,0,11,0,963.5,19.66
Malik Monk,65,1117,245,362,61,38,139,159,0,0,4,0,1278.0,19.66
Cameron Johnson,57,1070,247,194,53,25,159,99,0,0,2,0,1114.5,19.55
Cam Thomas,25,599,83,94,15,2,68,62,1,0,1,0,484.5,19.38
Draymond Green,68,613,414,383,99,70,80,174,0,0,6,1,1315.5,19.35
Andrew Wiggins,60,1078,269,158,60,50,130,99,1,0,3,0,1156.0,19.27
Lauri Markkanen,47,892,278,70,33,17,138,66,0,0,5,0,902.0,19.19
Russell Westbrook,75,994,370,457,106,37,94,242,0,0,13,4,1436.0,19.15
Immanuel Quickley,33,564,117,191,23,4,85,58,0,0,2,0,630.5,19.11
Kelly Oubre Jr.,60,906,368,108,92,30,71,80,0,0,10,0,1138.5,18.98
Alex Sarr,67,869,435,161,44,101,105,114,0,0,10,0,1269.0,18.94
Jalen Suggs,35,567,141,129,51,33,76,102,0,0,0,0,657.5,18.79
Norman Powell,60,1306,190,125,73,9,179,108,1,0,1,0,1115.5,18.59
Devin Vassell,64,1041,255,183,84,33,158,88,0,0,2,0,1185.5,18.52
Anfernee Simons,70,1348,189,337,60,5,215,143,0,0,2,0,1296.5,18.52
Tari Eason,57,686,362,83,97,50,63,65,0,0,6,0,1054.5,18.5
Naz Reid,80,1138,480,181,58,72,175,108,0,0,10,0,1479.5,18.49
Nic Claxton,70,724,515,157,62,100,5,87,0,0,13,0,1286.5,18.38
Christian Braun,79,1218,410,205,85,37,89,81,0,0,6,0,1437.5,18.2
Brook Lopez,80,1041,401,143,50,148,139,84,0,0,4,0,1450.0,18.12
Tobias Harris,73,1002,432,162,74,57,91,85,0,0,5,0,1322.5,18.12
Keegan Murray,76,942,507,109,61,69,154,60,0,0,11,0,1375.0,18.09
Keyonte George,67,1125,253,377,46,9,174,183,0,0,4,0,1210.5,18.07
Santi Aldama,65,811,416,188,52,29,120,71,0,0,10,0,1170.5,18.01
Mikal Bridges,82,1444,259,306,75,43,164,132,1,0,1,0,1475.0,17.99
Bradley Beal,53,902,177,195,58,28,102,99,0,0,1,0,948.0,17.89
Jaden McDaniels,82,1000,470,163,110,74,100,95,0,0,10,0,1466.0,17.88
Chris Paul,82,723,296,605,103,22,140,129,0,0,12,0,1465.5,17.87
Daniel Gafford,57,701,388,80,23,102,0,66,0,0,8,0,1010.5,17.73
Shaedon Sharpe,72,1335,324,198,62,16,147,150,0,0,3,0,1272.0,17.67
Jaden Ivey,30,528,124,119,28,11,63,89,0,0,0,0,527.5,17.58
Dereck Lively II,36,314,270,85,20,56,0,41,0,0,8,0,631.0,17.53
Toumani Camara,78,882,450,175,116,50,135,109,0,0,4,0,1360.5,17.44
Payton Pritchard,80,1144,307,279,70,14,255,83,1,0,5,0,1376.5,17.21
Bilal Coulibaly,59,727,294,199,78,41,63,125,0,0,3,1,1006.0,17.05
Yves Missi,73,665,601,99,37,98,0,82,0,0,14,0,1234.5,16.91
Brandin Podziemski,64,747,325,220,69,13,115,75,0,0,2,0,1067.0,16.67
Clint Capela,55,488,469,62,34,53,0,47,0,0,11,0,913.0,16.6
Zach Edey,66,610,548,65,36,85,18,88,0,0,12,0,1093.0,16.56
Isaiah Mobley,1,6,4,5,1,1,1,0,0,0,0,0,16.5,16.5
Quentin Grimes,75,1092,324,228,74,22,162,141,2,0,4,0,1236.0,16.48
Jabari Smith Jr.,57,698,399,60,25,41,98,61,0,0,8,0,936.0,16.42
Jrue Holiday,62,686,265,239,66,27,108,77,0,0,1,0,1011.0,16.31
Jerami Grant,47,677,163,101,41,46,108,65,0,0,0,0,765.5,16.29
Aaron Gordon,51,748,247,164,23,14,75,73,0,0,3,0,826.5,16.21
Collin Sexton,63,1159,171,264,47,6,110,160,0,0,2,0,1017.5,16.15
D'Angelo Russell,58,732,162,297,56,23,113,108,0,0,4,0,935.5,16.13
Jeremy Sochan,54,617,352,128,45,27,28,84,0,0,8,0,870.5,16.12
Bennedict Mathurin,72,1156,383,136,47,24,98,135,0,0,8,0,1161.0,16.12
Ayo Dosunmu,46,566,161,208,43,18,62,69,0,0,1,1,739.0,16.07
Kel'el Ware,64,595,473,60,39,71,35,57,0,0,15,0,1026.0,16.03
Jusuf Nurkić,51,453,398,115,40,34,32,97,0,0,10,0,816.5,16.01
Jonathan Kuminga,47,719,217,104,38,21,46,71,0,0,2,0,752.5,16.01
Jordan Clarkson,37,600,118,138,31,9,84,86,0,0,0,0,592.0,16.0
Al Horford,60,538,369,128,36,51,114,46,0,0,7,0,958.0,15.97
Stephon Castle,81,1190,297,332,74,22,95,177,0,0,6,0,1292.5,15.96
De'Andre Hunter,64,1088,258,92,50,13,157,82,0,0,2,0,1018.5,15.91
Ausar Thompson,59,594,303,134,98,40,11,80,0,0,3,0,938.5,15.91
Donte DiVincenzo,62,723,228,225,73,17,174,99,0,0,1,0,983.5,15.86
Jonas Valančiūnas,81,843,627,164,37,46,8,120,0,0,21,0,1283.5,15.85
Drew Timme,9,109,65,20,4,1,9,15,0,0,3,0,142.0,15.78
Wendell Carter Jr.,68,618,492,134,52,41,37,77,0,0,10,0,1072.5,15.77
Kyle Kuzma,65,964,370,152,36,19,96,146,0,0,6,0,1022.0,15.72
Donovan Clingan,67,436,527,77,34,110,14,72,0,0,8,0,1053.0,15.72
Dennis Schröder,75,980,198,404,66,12,127,142,0,0,7,0,1176.5,15.69
Herbert Jones,20,205,78,65,37,9,22,35,0,0,0,0,313.5,15.68
Naji Marshall,69,914,328,208,70,11,60,112,0,0,6,0,1079.0,15.64
Grant Williams,16,166,82,37,18,13,27,28,0,0,0,0,249.5,15.59
Goga Bitadze,70,502,463,137,49,98,3,72,0,0,15,0,1089.5,15.56
Rui Hachimura,59,775,295,83,45,26,102,49,0,0,1,0,910.5,15.43
Malik Beasley,82,1336,214,139,73,5,319,83,0,0,1,0,1254.5,15.3
Marcus Bagley,10,67,70,10,9,12,5,7,0,0,2,0,153.0,15.3
Khris Middleton,37,440,137,150,35,8,48,56,0,0,0,0,561.0,15.16
Guerschon Yabusele,70,768,395,148,58,24,104,87,0,0,3,0,1059.0,15.13
Caris LeVert,64,776,203,215,57,33,106,76,0,0,1,0,964.0,15.06
Scoot Henderson,66,837,198,335,68,13,105,177,0,0,2,0,991.0,15.02
Nick Richards,57,529,466,49,14,55,0,81,0,0,16,0,852.5,14.96
Klay Thompson,72,1005,246,145,50,30,216,88,0,0,0,0,1073.5,14.91
Scotty Pippen Jr.,79,779,259,347,103,30,87,138,0,0,9,1,1178.0,14.91
Jose Alvarado,56,579,136,259,74,14,111,86,0,0,2,0,832.0,14.86
Andrew Nembhard,65,653,216,326,79,11,51,112,0,0,2,0,964.0,14.83
Oscar Tshiebwe,14,107,122,9,13,1,0,10,0,0,4,0,206.5,14.75
Tyus Jones,81,829,196,429,69,8,166,91,0,0,6,0,1191.5,14.71
Dillon Brooks,75,1053,275,128,60,16,186,76,0,0,0,0,1098.5,14.65
Day'Ron Sharpe,50,397,330,91,41,42,11,63,0,0,4,0,732.0,14.64
Luguentz Dort,71,719,293,115,79,39,170,51,0,0,0,0,1037.5,14.61
Malcolm Brogdon,24,305,91,98,13,5,16,38,0,0,2,0,349.5,14.56
Bub Carrington,82,807,341,364,54,21,138,141,0,0,5,0,1191.5,14.53
Killian Hayes,6,54,18,31,4,4,8,9,0,0,0,0,87.0,14.5
Matisse Thybulle,15,112,52,28,33,9,21,13,0,0,0,0,217.5,14.5
Royce O'Neale,75,680,349,163,67,33,179,65,0,0,1,0,1077.5,14.37
Cason Wallace,68,568,229,173,120,35,74,59,0,0,0,0,974.0,14.32
Spencer Dinwiddie,79,872,209,349,70,17,109,102,0,0,5,0,1125.5,14.25
Gradey Dick,54,777,193,98,48,10,114,83,0,0,0,0,769.5,14.25
Keldon Johnson,77,979,371,125,49,22,87,77,0,0,3,0,1097.0,14.25
Justin Champagnie,62,544,351,60,65,39,74,54,0,0,8,0,882.0,14.23
Kyle Filipowski,72,690,440,140,48,22,77,102,0,0,13,0,1014.5,14.09
Moritz Wagner,30,386,148,42,24,12,27,49,0,0,1,0,420.5,14.02
De'Anthony Melton,6,62,20,17,7,2,13,10,0,0,1,0,83.5,13.92
Ty Jerome,70,878,173,237,78,3,111,92,0,0,0,0,974.5,13.92
Lonzo Ball,35,267,118,115,47,17,67,41,0,0,0,0,487.0,13.91
Kyshawn George,68,590,285,169,68,50,114,97,0,0,1,0,946.0,13.91
Andre Drummond,40,293,310,34,39,18,3,55,0,0,5,0,556.0,13.9
Nikola Jović,46,494,180,131,38,13,78,60,0,0,0,0,639.0,13.89
Taylor Hendricks,3,14,15,2,5,4,3,2,0,0,0,0,41.5,13.83
Max Strus,50,471,217,158,26,12,113,54,0,0,0,0,689.0,13.78
Isaiah Collier,71,615,235,446,66,16,42,208,0,0,11,0,976.5,13.75
Aaron Wiggins,76,914,295,134,60,18,130,69,1,0,2,0,1041.0,13.7
Tre Mann,13,183,38,39,7,4,24,25,0,0,0,0,177.5,13.65
Mike Conley,71,582,182,319,79,14,127,75,0,0,1,0,967.5,13.63
Robert Williams III,20,116,118,21,13,33,1,17,0,0,0,0,272.5,13.62
Aaron Nesmith,45,541,178,54,35,17,84,37,0,0,0,0,611.5,13.59
Ziaire Williams,63,632,287,84,62,28,103,67,0,0,2,0,853.5,13.55
Jared McCain,23,352,56,60,15,0,51,37,0,0,1,0,311.5,13.54
Isaiah Jackson,5,35,28,5,3,8,0,5,0,0,0,0,67.5,13.5
Keon Johnson,79,839,297,175,82,30,126,116,0,0,0,0,1062.5,13.45
Kevin Porter Jr.,75,771,278,256,81,13,55,136,0,0,2,1,1003.0,13.37
Jaylin Williams,47,278,262,120,22,29,61,35,0,0,4,3,628.5,13.37
Lonnie Walker IV,20,247,63,50,10,5,45,25,0,0,1,0,265.0,13.25
Harrison Barnes,82,1011,310,136,39,14,156,50,0,0,1,0,1086.5,13.25
Ben Simmons,51,256,241,285,38,23,0,102,0,0,1,0,675.0,13.24
Alex Caruso,54,382,159,137,87,30,60,37,0,0,0,0,714.0,13.22
Ochai Agbaji,64,667,242,98,58,30,101,54,0,0,0,0,846.0,13.22
Kris Dunn,74,474,251,210,128,27,75,74,0,0,0,0,971.5,13.13
Miles McBride,64,611,161,187,67,17,115,41,0,0,0,0,838.0,13.09
Isaiah Stewart,72,435,399,123,28,101,17,68,0,0,2,0,940.0,13.06
Zaccharie Risacher,75,942,268,92,52,37,122,92,0,0,1,0,979.0,13.05
Larry Nance Jr.,24,203,103,38,20,13,34,16,0,0,3,0,312.5,13.02
Kelly Olynyk,44,384,206,128,33,19,33,76,0,0,2,0,572.5,13.01
Brandon Boston,42,448,134,92,53,9,49,52,0,0,0,0,546.5,13.01
Tolu Smith,1,14,8,0,0,0,0,2,0,0,0,0,13.0,13.0
Keon Ellis,80,666,212,120,121,63,139,71,0,0,0,0,1031.5,12.89
T.J. McConnell,79,720,193,351,83,21,15,109,0,0,2,0,1012.5,12.82
Anthony Black,78,736,230,240,86,48,62,139,0,0,1,0,999.0,12.81
Mitchell Robinson,17,87,101,13,16,18,0,10,0,0,2,0,217.5,12.79
Buddy Hield,82,912,264,134,69,23,203,91,0,0,0,0,1048.5,12.79
Grayson Allen,64,680,194,137,54,19,149,75,0,0,1,0,817.5,12.77
Julian Champagnie,82,815,318,111,61,35,178,74,0,0,0,0,1043.5,12.73
Kevin Huerter,69,681,205,156,66,23,132,67,0,0,0,0,878.5,12.73
Terry Rozier,64,679,238,167,37,14,91,78,0,0,0,0,814.0,12.72
Keion Brooks Jr.,14,142,58,13,10,10,14,12,0,0,1,0,178.0,12.71
Obi Toppin,79,833,318,128,46,28,110,68,0,0,2,0,999.5,12.65
Jalen Smith,64,524,357,65,17,44,72,37,0,0,4,0,809.0,12.64
Bogdan Bogdanović,54,583,159,146,41,11,105,74,0,0,1,0,680.0,12.59
Elfrid Payton,24,85,79,166,24,11,1,59,0,0,2,0,301.0,12.54
Peyton Watson,68,551,233,94,48,93,48,56,0,0,0,0,852.5,12.54
Luke Kornet,73,441,388,117,36,71,0,31,0,0,3,0,911.5,12.49
Tosan Evbuomwan,28,267,120,55,24,10,24,39,0,0,0,0,349.5,12.48
Justin Edwards,44,445,148,69,45,16,69,49,0,0,1,0,548.0,12.45
Brandon Clarke,64,534,326,66,52,36,1,41,0,0,2,0,796.5,12.45
Dorian Finney-Smith,63,549,247,90,58,23,129,56,0,0,0,0,782.0,12.41
Jaime Jaquez Jr.,66,570,290,166,61,14,37,98,1,0,3,1,817.5,12.39
Nickeil Alexander-Walker,82,773,265,223,50,34,141,99,0,0,1,0,1015.0,12.38
Davion Mitchell,74,588,167,363,72,16,84,128,0,0,1,0,915.0,12.36
Cody Martin,53,358,224,105,56,32,43,51,0,0,0,0,654.5,12.35
Precious Achiuwa,57,379,317,55,47,42,10,45,0,0,3,0,702.5,12.32
Chris Boucher,50,502,224,33,24,25,70,29,0,0,3,0,615.0,12.3
Jonathan Mogbo,63,389,311,146,55,34,17,70,0,0,3,1,773.0,12.27
Richaun Holmes,31,230,177,42,9,23,0,21,0,0,3,0,380.0,12.26
Caleb Martin,45,356,177,95,46,23,37,56,0,0,1,0,551.5,12.26
Karlo Matković,42,325,209,46,22,41,21,43,0,0,4,0,515.0,12.26
Chuma Okeke,9,53,47,15,5,4,11,3,0,0,1,0,110.0,12.22
Patrick Williams,63,566,237,124,48,32,96,86,0,0,1,0,767.0,12.17
Max Christie,78,749,258,146,64,31,115,88,0,0,0,0,938.0,12.03
Luke Kennard,65,576,183,215,50,5,113,72,0,0,0,0,780.5,12.01
Cole Anthony,67,630,204,191,45,32,77,103,0,0,0,0,799.5,11.93
Derrick Jones Jr.,77,781,263,60,79,33,78,66,0,0,0,0,910.5,11.82
Taurean Prince,80,656,287,155,76,15,147,82,0,0,1,0,944.5,11.81
Tre Jones,46,330,116,192,37,10,19,35,0,0,1,0,542.5,11.79
Marcus Smart,34,305,72,109,39,9,49,54,0,0,0,0,400.0,11.76
Gary Trent Jr.,74,824,168,87,72,4,180,42,0,0,0,0,867.0,11.72
Bruce Brown,41,340,164,84,34,10,27,39,0,0,0,0,480.5,11.72
Kentavious Caldwell-Pope,77,673,169,136,99,34,113,62,0,0,0,0,902.0,11.71
Isaiah Joe,74,756,196,119,48,9,192,38,0,0,0,0,865.0,11.69
Corey Kispert,61,705,181,103,26,14,120,64,0,0,0,0,712.5,11.68
Jaylen Wells,79,823,268,135,44,8,138,69,0,0,1,0,919.5,11.64
Mouhamed Gueye,33,197,139,27,28,33,21,15,0,0,2,0,384.0,11.64
Kevon Looney,76,344,462,118,46,37,2,39,0,0,2,0,882.0,11.61
Trendon Watford,44,450,160,115,27,12,29,83,0,0,1,0,510.5,11.6
Mason Plumlee,74,333,455,134,33,47,0,59,0,0,2,0,858.5,11.6
Jake LaRavia,66,458,259,158,62,23,60,86,0,0,2,0,762.0,11.55
Duncan Robinson,74,817,167,176,40,6,190,86,0,0,0,0,852.5,11.52
Jonathan Isaac,71,380,314,40,61,80,39,33,0,0,2,0,814.5,11.47
Jaxson Hayes,56,383,269,58,31,51,0,43,0,0,2,0,641.5,11.46
Moussa Diabaté,71,403,438,56,46,40,0,61,0,0,7,0,813.5,11.46
Moses Moody,74,724,189,96,59,31,126,54,0,0,0,0,836.0,11.3
Damion Baugh,15,109,50,56,15,2,12,31,0,0,0,0,169.5,11.3
Trayce Jackson-Davis,62,407,311,104,23,38,0,45,0,0,4,0,699.5,11.28
Noah Clowney,46,420,181,40,24,21,87,46,0,0,0,0,518.5,11.27
Bismack Biyombo,28,144,158,31,16,23,0,27,0,0,3,0,315.0,11.25
N'Faly Dante,4,24,21,2,1,5,0,2,0,0,0,0,45.0,11.25
Jordan Hawkins,56,604,158,66,30,23,110,58,0,0,0,0,629.0,11.23
KJ Simpson,36,282,109,112,34,6,33,56,0,0,0,0,402.5,11.18
Tim Hardaway Jr.,77,844,183,123,38,7,168,48,0,0,0,0,854.0,11.09
Tyrese Martin,60,523,219,122,34,9,99,74,0,0,1,0,665.0,11.08
Brice Sensabaugh,71,772,210,110,46,8,157,107,0,0,0,0,785.5,11.06
Matas Buzelis,80,688,278,79,29,75,96,74,0,0,1,0,884.0,11.05
Vít Krejčí,57,412,156,147,36,26,90,50,0,0,1,0,629.0,11.04
Jared Butler,60,541,110,220,42,13,60,80,0,0,1,0,661.5,11.03
Ron Harper Jr.,1,4,7,2,0,0,0,0,0,0,0,0,11.0,11.0
Trey Lyles,69,451,316,82,41,23,81,39,0,0,1,0,754.0,10.93
Jalen Wilson,79,749,270,145,40,5,122,79,0,0,0,0,861.5,10.91
Georges Niang,79,784,272,111,28,14,166,82,0,0,1,0,861.0,10.9
Orlando Robinson,44,303,220,77,17,16,17,49,0,0,4,0,478.0,10.86
Haywood Highsmith,74,478,252,112,68,37,89,54,0,0,0,0,803.5,10.86
Tristan Vukcevic,35,330,130,39,11,23,38,42,0,0,1,0,380.0,10.86
Kyle Anderson,61,357,206,145,40,33,25,37,0,0,2,0,653.0,10.7
Sam Hauser,71,605,224,64,41,13,166,23,0,0,0,0,758.5,10.68
Ja'Kobe Walter,52,449,160,81,43,10,65,50,0,0,1,0,555.0,10.67
Dean Wade,59,320,249,76,42,20,80,22,0,0,1,0,628.0,10.64
A.J. Lawson,26,236,86,31,13,6,33,15,0,0,2,0,276.5,10.63
Quinten Post,42,340,148,56,16,18,73,33,0,0,0,0,445.5,10.61
Zach Collins,64,407,288,111,29,29,32,60,0,0,4,0,678.5,10.6
Dru Smith,14,87,36,23,21,6,16,17,0,0,0,0,147.5,10.54
Jordan Goodwin,29,161,112,42,30,11,26,26,0,0,0,0,303.5,10.47
Jeremiah Robinson-Earl,66,418,315,88,39,7,56,51,0,0,4,0,685.0,10.38
Johnny Juzang,64,571,184,68,39,8,118,36,0,0,0,0,654.5,10.23
Terance Mann,67,517,199,121,47,15,60,47,0,0,0,0,685.5,10.23
Josh Okogie,40,283,113,33,48,19,32,31,0,0,1,0,407.5,10.19
Oshae Brissett,6,52,22,4,4,3,6,8,0,0,0,0,61.0,10.17
Ryan Dunn,74,511,267,57,44,40,82,40,0,0,3,0,751.5,10.16
Josh Green,68,506,172,108,74,15,97,70,0,0,0,0,689.5,10.14
Dalano Banton,67,559,135,160,43,34,72,86,0,0,0,0,678.5,10.13
Cam Whitmore,51,477,151,49,31,13,65,46,0,0,2,0,515.0,10.1
Jarred Vanderbilt,36,147,182,41,35,10,9,29,0,0,0,0,362.0,10.06
Jamal Shead,75,533,115,316,58,10,72,117,0,0,1,0,753.5,10.05
Jared Rhoden,14,118,42,16,10,2,12,9,0,0,1,0,139.0,9.93
Thomas Bryant,66,429,251,53,28,41,48,30,0,0,1,0,651.5,9.87
Adem Bona,58,337,245,27,26,69,0,61,0,0,3,0,572.5,9.87
Tidjane Salaün,60,353,280,74,29,14,58,58,0,0,2,0,589.5,9.82
Dante Exum,20,174,33,56,12,3,23,22,0,0,0,0,195.5,9.78
Nick Smith Jr.,60,591,128,145,17,6,104,82,0,0,1,0,585.5,9.76
Vince Williams Jr.,27,179,98,55,12,7,26,33,0,0,1,0,261.5,9.69
Jaylen Nowell,8,67,20,18,1,4,8,8,0,0,0,0,77.5,9.69
Svi Mykhailiuk,38,334,90,76,19,7,70,52,0,0,0,0,368.0,9.68
Sam Merrill,71,509,157,108,53,14,137,35,0,0,0,0,687.0,9.68
Marcus Garrett,4,28,6,13,3,2,3,6,0,0,0,0,38.5,9.62
Tristan da Silva,74,533,245,113,33,18,80,56,0,0,1,0,711.5,9.61
Steven Adams,58,225,327,66,22,28,0,54,0,0,3,0,554.5,9.56
Kenrich Williams,69,436,241,97,43,10,66,39,0,0,2,0,658.0,9.54
Amir Coffey,72,696,161,77,40,7,101,45,0,0,0,0,685.5,9.52
Julian Strawther,65,588,142,83,39,16,94,57,0,0,0,0,619.0,9.52
Daniel Theis,38,162,164,60,18,20,9,25,0,0,1,0,361.5,9.51
Gary Payton II,62,400,185,83,52,17,31,39,0,0,0,0,582.5,9.4
DaQuan Jeffries,47,315,135,53,26,25,55,35,0,0,0,0,440.0,9.36
Mo Bamba,32,138,145,18,9,31,15,20,0,0,0,0,299.5,9.36
Collin Gillespie,33,194,78,78,21,5,39,17,0,0,1,0,308.5,9.35
